"titleID","titleName","titleSort","titleURL","authorFirstName","authorLastName","publicationDate","imageName","categoryID","shortDescription","urlPKDweb","active","createdAt","updatedAt"
21,"The Man Who Japed","man who japed, the","The-Man-Who-Japed","Philip K.","Dick","1956-01-01 00:00:00+00","https://philipdick.com/images/covers/TheManWhoJaped.jpg",1,"Following a devastating nuclear war, the Moral Reclamation government took over the world and forced its citizens to live by strictly puritanical rules—no premarital sex, drunkenness, or displaying of neon signs—all of which are reinforced through a constant barrage of messaging to the public. The chief purveyor of these messages is Alan Purcell, next in line to become head of the propaganda bureau. But there is just one problem: a statue of the government’s founder has been vandalized and the head is hidden in Purcell’s closet. In this buttoned-up society, maybe all a revolution needs is one really great prank . . .","https://1999pkdweb.philipdick.com/THE%20MAN%20WHO%20JAPED.htm",True,"2020-10-19 03:10:31.269921+00","2020-10-27 21:13:17.46+00"
22,"The Man Whose Teeth Were All Exactly Alike","man whose teeth were all exactly alike, the","The-Man-Whose-Teeth-Were-All-Exactly-Alike","Philip K.","Dick","1984-01-01 00:00:00+00","https://philipdick.com/images/covers/TheManWhoseTeethWereAllExactlyAlike.jpg",1,"Small town America tears itself apart in this realist novel from one of the greats of science fiction

Leo Runcible - of Runcible Realty - is too excitable and too pushy. His wife drinks too much. He may be a man of principle, but Liberal Jewish Leo is an outsider in the lilywhite Carquinez, Marin County.

When he gets into a pointless argument with a customer over his neighbour Walt Dombrosio's house guests, the resulting ramifications follow a bizarre logic of cause and effect to lead in entirely unexpected directions ...

And can Leo really have found the skull of a Neanderthal man in middle America?

THE MAN WHOSE TEETH WERE ALL EXACTLY ALIKE is a dazzling novel by a writer famous for his power to surprise and delight.","https://1999pkdweb.philipdick.com/teeth.htm",True,"2020-10-19 03:10:31.269921+00","2020-10-27 21:13:41.95+00"
23,"Martian Time-Slip","martian time-slip","Martian-Time-Slip","Philip K.","Dick","1964-01-01 00:00:00+00","https://philipdick.com/images/covers/MartianTimeSlip.jpg",1,"""The writing is humorous, painful, awesome in its effect on both mind and heart . . . There are few modern novels to match it.""—Rolling Stone
On an arid Mars, local bigwigs compete with Earth-bound interlopers to buy up land before the UN develops it and its value skyrockets. Martian Union leader Arnie Kott has an ace up his sleeve, though: an autistic boy named Manfred who seems to have the ability to see the future. In the hopes of gaining an advantage on a Martian real estate deal, powerful people force Manfred to send them into the future, where they can learn about development plans. But is Manfred sending them to the real future or one colored by his own dark and paranoid filter? As the time travelers are drawn into Manfred's dark worldview in both the future and present, the cost of doing business may drive them all insane.","https://1999pkdweb.philipdick.com/MARTIAN%20TIME%20SLIP.htm",True,"2020-10-19 03:10:31.269921+00","2020-10-27 21:18:03.81+00"
24,"Mary and the Giant","mary and the giant","Mary-And-The-Giant","Philip K.","Dick","1987-01-01 00:00:00+00","https://philipdick.com/images/covers/MaryAndTheGiant.jpg",1,"Mary Anne Reynolds is a young and vulnerable woman, determined to make her own way in the world. But Pacific Park, California, in the 1950s is not really the place for Mary. Her relationship with a black singer offends against the small town's views on sexual mores and exposes its bigoted views on race. This is a powerful portrayal of the claustrophobia of small-town California, and Mary Anne Reynolds is one of the most memorable characters Dick ever created.","https://1999pkdweb.philipdick.com/maryand.htm",True,"2020-10-19 03:10:31.269921+00","2020-10-27 21:15:30.189+00"
25,"A Maze of Death","maze of death, a","A-Maze-Of-Death","Philip K.","Dick","1970-01-01 00:00:00+00","https://philipdick.com/images/covers/AMazeOfDeath.jpg",1,"A sci-fi murder mystery set on a mysterious planet, with a twist ending that leaves the reader wondering just what they’ve been witnessing the whole time.
Delmak-O is a dangerous planet. Though there are only fourteen citizens, no one can trust anyone else and death can strike at any moment. The planet is vast and largely unexplored, populated mostly by gelatinous cube-shaped beings that give cryptic advice in the form of anagrams. Deities can be spoken to directly via a series of prayer amplifiers and transmitters, but they may not be happy about it. And the mysterious building in the distance draws all the colonists to it, but when they get there each sees a different motto on the front. The mystery of this structure and the secrets contained within drive this mind-bending novel.","https://1999pkdweb.philipdick.com/A%20MAZE%20OF%20DEATH.htm",True,"2020-10-19 03:10:31.269921+00","2020-10-27 21:18:42.56+00"
26,"Nick and the Glimmung","nick and the glimmung","Nick-And-The-Glimmung","Philip K.","Dick","1988-01-01 00:00:00+00","https://philipdick.com/images/covers/NickAndTheGlimmung.jpg",1,"Nick and his family are forced to leave Earth in order for him to keep his cat, Horace - because all pets are now banned, as they use up badly needed resources. They settle on Plowman's Planet, where they discover a variety of strange and wonderful alien lifeforms.

But not all of these weird lifeforms are benevolent - and the family is involved in a series of increasingly dangerous mishaps. Can Horace and Nick manage to outwit the Wub, the Werjes, the Trobes - and the most dangerous of all, the Glimmung?

Philip K. Dick's only children's book, first published after his death, brings together many of his most famous alien creations in one gently humorous tale.","https://1999pkdweb.philipdick.com/NICK%20AND%20THE%20GLIMMUNG.htm",True,"2020-10-19 03:10:31.269921+00","2020-10-27 21:15:40.323+00"
27,"Now Wait for Last Year","now wait for last year","Now-Wait-For-Last-Year","Philip K.","Dick","1966-01-01 00:00:00+00","https://philipdick.com/images/covers/NowWaitForLastYear.jpg",1,"Earth is trapped in the crossfire of an unwinnable war between two alien civilizations. Its leader is perpetually on the verge of death. And on top of it all, a new drug has just entered circulation—a drug that haphazardly sends its users traveling through time.
 
In an attempt to escape his doomed marriage, Dr. Eric Sweetscent becomes caught up in all of it. But he has questions: is Earth on the right side of the war? Is he supposed to heal Earth’s leader or keep him sick? And can he change the harrowing future that the drug has shown him?","https://1999pkdweb.philipdick.com/NOW%20WAIT%20FOR%20LAST%20YEAR.htm",True,"2020-10-19 03:10:31.269921+00","2020-10-27 21:19:26.543+00"
28,"Our Friends from Frolix 8","our friends from frolix 8","Our-Friends-From-Frolix-8","Philip K.","Dick","1970-01-01 00:00:00+00","https://philipdick.com/images/covers/OurFriendsFromFrolix8.jpg",1,"This satirical adventure from Philip K. Dick deals with issues of power, class, and politics, set in a world ruled by big-brained elites.

 
In Our Friends from Frolix 8, the world is run by an elite few. And what determines whether one is part of the elite isn’t wealth or privilege, but brains. As children, every citizen of Earth is tested; some are found to be super-smart New Men and some are Unusuals, with various psychic powers. The vast majority are Undermen, performing menial jobs in an overpopulated world.
Nick Appleton is an Underman, content to go with the flow and eke out an existence as a tire regroover. But after his son is classified as an Underman, Appleton begins to question the hierarchy. Strengthening his resolve, and energizing the resistance movement, is news that the great resistance leader Thors Provoni is returning from a trip to the furthest reaches of space. And he’s brought help: a giant, indestructible alien.","https://1999pkdweb.philipdick.com/FROLIX%208.htm",True,"2020-10-19 03:10:31.269921+00","2020-10-27 21:20:20.868+00"
29,"The Penultimate Truth","penultimate truth, the","The-Penultimate-Truth","Philip K.","Dick","1964-01-01 00:00:00+00","https://philipdick.com/images/covers/ThePenultimateTruth.jpg",1,"“At a time when most 20th-century science fiction writers seem hopelessly dated, Dick gives us a vision of the future that captures the feel of our time.”—Wired

In the future, most of humanity lives in massive underground bunkers, producing weapons for the nuclear war they've fled. Constantly bombarded by patriotic propaganda, the citizens of these industrial anthills believe they are waiting for the day when the war will be over and they can return aboveground. But when Nick St. James, president of one anthill, makes an unauthorized trip to the surface, what he finds is more shocking than anything he could imagine.","https://1999pkdweb.philipdick.com/THE%20PENULTIMATE%20TRUTH.htm",True,"2020-10-19 03:10:31.269921+00","2020-10-27 21:21:02.492+00"
30,"Puttering About in a Small Land","puttering about in a small land","Puttering-About-In-A-Small-Land","Philip K.","Dick","1985-01-01 00:00:00+00","https://philipdick.com/images/covers/PutteringAboutInASmallLand.jpg",1,"When Roger and Virginia Lindhal enroll their son Gregg in Mrs. Alt's Los Padres Valley School in the mountains of Southern California, their marriage is already in deep trouble. Then the Lindhals meet Chic and Liz Bonner, whose two sons also board at Mrs. Alt's school. The meeting is a catalyst for a complicated series of emotions and traumas, set against the backdrop of suburban Los Angeles in the early fifties. The buildup of emotional intensity and the finely observed characterizations are hallmarks of Philip K. Dick's work.

This is a realistic novel filled with details of everyday life and skillfully told from three points of view. It is powerful, eloquent, and gripping.","https://1999pkdweb.philipdick.com/Puttering%20About.htm",True,"2020-10-19 03:10:31.269921+00","2020-10-27 21:15:54.239+00"
31,"Radio Free Albemuth","radio free albemuth","Radio-Free-Albemuth","Philip K.","Dick","1985-01-01 00:00:00+00","https://philipdick.com/images/covers/RadioFreeAlbemuth.jpg",1,"A visionary alternate history of the United States filled with enough conspiracy theories to thrill the most hardened paranoid, Radio Free Albemuth is proof of Dick’s stature as our century’s greatest science fiction writer.","https://1999pkdweb.philipdick.com/RADIO%20FREE%20ALBEMUTH.htm",True,"2020-10-19 03:10:31.269921+00","2020-10-27 21:16:07.142+00"
32,"A Scanner Darkly","scanner darkly, a","A-Scanner-Darkly","Philip K.","Dick","1977-01-01 00:00:00+00","https://philipdick.com/images/covers/AScannerDarkly.jpg",1,"“Dick is Thoreau plus the death of the American dream.”—Roberto Bolaño

Bob Arctor is a junkie and a drug dealer, both using and selling the mind-altering Substance D. Fred is a law enforcement agent, tasked with bringing Bob down. It sounds like a standard case. The only problem is that Bob and Fred are the same person. Substance D doesn’t just alter the mind, it splits it in two, and neither side knows what the other is doing or that it even exists. Now, both sides are growing increasingly paranoid as Bob tries to evade Fred while Fred tries to evade his suspicious bosses.

In this award-winning novel, friends can become enemies, good trips can turn terrifying, and cops and criminals are two sides of the same coin. Dick is at turns caustically funny and somberly contemplative, fashioning a novel that is as unnerving as it is enthralling.","https://1999pkdweb.philipdick.com/A%20SCANNER%20DARKLY.htm",True,"2020-10-19 03:10:31.269921+00","2020-10-27 21:22:13.484+00"
